Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
13,Q21,1544676523.677152,231286,8,0
7,Q12,1544676523.682634,575383,3,0
4,Q4,1544676523.716600,810779,2,0
14,Q22,1544676523.809018,202498,8,0
7,Q12,1544676523.877201,1307181,1,0
5,Q6,1544676523.878300,195512,0,0
6,Q11,1544676523.912336,274279,8,0
1,Q1,1544676523.973860,1557927,0,0
13,Q21,1544676524.086021,196389,8,0
14,Q22,1544676524.158498,205924,3,0
13,Q21,1544676524.181596,345835,8,0
2,Q2,1544676524.265095,224827,3,0
2,Q2,1544676524.322411,865149,9,0
6,Q11,1544676524.389292,280404,3,0
11,Q18,1544676524.427641,1110569,2,0
6,Q11,1544676524.427641,277850,8,0
1,Q1,1544676524.478069,271793,6,0
2,Q2,1544676524.478069,227403,7,0
7,Q12,1544676524.478069,586825,5,0
8,Q14,1544676524.568996,565102,3,0
14,Q22,1544676524.585405,765260,4,0
7,Q12,1544676524.605135,582403,7,0
13,Q21,1544676524.605136,194450,8,0
9,Q16,1544676524.650031,1826919,6,0
4,Q4,1544676524.699307,168588,8,0
5,Q6,1544676524.767188,195204,8,0
1,Q1,1544676524.862464,364096,8,0
8,Q14,1544676524.964362,655772,5,0
4,Q4,1544676525.033382,317289,3,0
1,Q1,1544676525.083760,268684,1,0
9,Q16,1544676525.087047,936362,7,0
14,Q22,1544676525.087047,1388546,9,0
1,Q1,1544676525.126481,270998,8,0
2,Q2,1544676525.250242,223337,3,0
6,Q11,1544676525.250242,280160,4,0
8,Q14,1544676525.252434,866760,1,0
9,Q16,1544676525.297340,961326,8,0
9,Q16,1544676525.372921,941952,3,0
9,Q16,1544676525.429873,1366081,4,0
11,Q18,1544676525.432061,1750364,0,0
14,Q22,1544676525.437537,205507,2,0
5,Q6,1544676525.519656,193799,5,0
8,Q14,1544676525.542639,610425,2,0
2,Q2,1544676525.613826,643988,5,0
4,Q4,1544676525.923755,389238,7,0
13,Q21,1544676526.019031,330087,1,0
1,Q1,1544676526.053032,972523,2,0
4,Q4,1544676526.158201,1024116,5,0
4,Q4,1544676526.159296,201535,8,0
8,Q14,1544676526.212951,585456,7,0
4,Q4,1544676526.214046,169952,3,0
13,Q21,1544676526.253864,221779,1,0
6,Q11,1544676526.260556,279809,8,0
5,Q6,1544676526.284709,193851,3,0
2,Q2,1544676526.375918,652690,9,0
13,Q21,1544676526.375918,1093080,1,0
14,Q22,1544676526.377021,207776,6,0
1,Q1,1544676526.379211,586928,3,0
5,Q6,1544676526.439820,193724,8,0
9,Q16,1544676526.484728,937398,6,0
9,Q16,1544676526.532950,938444,8,0
5,Q6,1544676526.696311,194115,4,0
6,Q11,1544676526.698500,505266,7,0
6,Q11,1544676526.790049,681480,4,0
