Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,Q11,1544681345.875314,280731,93,0
13,Q21,1544681345.878842,1285267,24,0
1,Q1,1544681345.936707,4425892,21,0
2,Q2,1544681346.004416,745813,71,0
13,Q21,1544681346.004416,5471698,47,0
8,Q14,1544681346.004416,1182761,91,0
4,Q4,1544681346.004416,7471670,44,0
6,Q11,1544681346.004417,896599,29,0
13,Q21,1544681346.008015,1156072,27,0
14,Q22,1544681346.008015,313342,83,0
13,Q21,1544681346.008016,8338031,32,0
13,Q21,1544681346.008016,1179166,10,0
2,Q2,1544681346.010385,7468855,37,0
4,Q4,1544681346.010385,739811,55,0
14,Q22,1544681346.010385,5465835,84,0
13,Q21,1544681346.012814,1151345,43,0
1,Q1,1544681346.013995,887095,64,0
4,Q4,1544681346.013996,307556,0,0
14,Q22,1544681346.018816,8327289,49,0
6,Q11,1544681346.056079,1131113,93,0
5,Q6,1544681346.162779,587438,79,0
8,Q14,1544681346.220601,7258627,89,0
6,Q11,1544681346.220610,5255491,66,0
14,Q22,1544681346.221830,967798,83,0
4,Q4,1544681346.221830,169483,0,0
4,Q4,1544681346.223003,941116,1,0
2,Q2,1544681346.261677,8088165,72,0
14,Q22,1544681346.261681,7217546,54,0
5,Q6,1544681346.261682,579773,42,0
13,Q21,1544681346.261682,5214476,4,0
14,Q22,1544681346.261682,1684147,33,0
14,Q22,1544681346.292127,897472,0,0
1,Q1,1544681346.587173,272017,57,0
13,Q21,1544681346.587173,741289,28,0
2,Q2,1544681346.589508,7762938,51,0
5,Q6,1544681346.647393,1298515,13,0
1,Q1,1544681346.650787,360705,55,0
2,Q2,1544681346.650787,4828525,79,0
5,Q6,1544681346.650788,6828462,71,0
5,Q6,1544681346.741709,447894,42,0
2,Q2,1544681346.759157,225547,57,0
4,Q4,1544681346.801116,527358,36,0
7,Q12,1544681346.801116,1145010,19,0
5,Q6,1544681346.801116,7548561,29,0
6,Q11,1544681346.801117,389606,64,0
5,Q6,1544681346.885117,6594129,57,0
5,Q6,1544681346.912006,4567295,55,0
5,Q6,1544681347.063845,427163,92,0
1,Q1,1544681347.063846,364850,1,0
4,Q4,1544681347.063846,172179,24,0
12,Q19,1544681347.063846,7288569,43,0
5,Q6,1544681347.065023,881050,27,0
4,Q4,1544681347.087145,174207,70,0
13,Q21,1544681347.087145,6392094,93,0
4,Q4,1544681347.087146,341580,91,0
5,Q6,1544681347.087146,4392204,10,0
11,Q18,1544681347.089498,7268389,0,0
6,Q11,1544681347.089499,328011,42,0
4,Q4,1544681347.089499,401498,83,0
14,Q22,1544681347.090672,1144483,64,0
14,Q22,1544681347.136261,225037,24,0
6,Q11,1544681347.161992,6317248,70,0
14,Q22,1544681347.190981,4288369,61,0
5,Q6,1544681347.229464,413179,36,0
8,Q14,1544681347.229464,661437,28,0
6,Q11,1544681347.262002,584704,24,0
14,Q22,1544681347.309680,925476,73,0
1,Q1,1544681347.309680,7047992,82,0
14,Q22,1544681347.315515,199247,18,0
13,Q21,1544681347.315515,4163840,40,0
6,Q11,1544681347.315515,8518275,11,0
2,Q2,1544681347.316747,328977,42,0
6,Q11,1544681347.328423,518302,1,0
2,Q2,1544681347.328423,758021,91,0
13,Q21,1544681347.391339,843846,83,0
4,Q4,1544681347.391339,6966388,92,0
14,Q22,1544681347.415549,198972,18,0
8,Q14,1544681347.514624,8319244,18,0
7,Q12,1544681347.542517,3936846,36,0
8,Q14,1544681347.546009,582985,42,0
4,Q4,1544681347.746194,337345,24,0
9,Q16,1544681347.746194,959577,1,0
4,Q4,1544681347.790703,6567324,28,0
2,Q2,1544681347.845651,633248,33,0
14,Q22,1544681347.845654,198656,13,0
5,Q6,1544681347.845654,7988197,27,0
6,Q11,1544681347.845654,3633722,19,0
8,Q14,1544681347.944355,684176,13,0
13,Q21,1544681347.983769,196648,24,0
2,Q2,1544681347.987257,1045519,91,0
4,Q4,1544681348.028166,6329532,42,0
2,Q2,1544681348.080560,401064,24,0
5,Q6,1544681348.135029,7698855,64,0
6,Q11,1544681348.135030,282819,83,0
14,Q22,1544681348.136179,3343208,73,0
13,Q21,1544681348.301770,541773,48,0
1,Q1,1544681348.304113,728644,6,0
14,Q22,1544681348.304114,201040,25,0
4,Q4,1544681348.305255,6052487,80,0
13,Q21,1544681348.317036,253285,83,0
13,Q21,1544681348.378907,196357,33,0
6,Q11,1544681348.381300,7709640,24,0
4,Q4,1544681348.404559,3074840,25,0
2,Q2,1544681348.470706,376043,83,0
4,Q4,1544681348.475386,227832,33,0
14,Q22,1544681348.528741,504041,13,0
2,Q2,1544681348.603499,5912613,33,0
7,Q12,1544681348.605865,639631,1,0
14,Q22,1544681348.744003,200111,48,0
14,Q22,1544681348.746264,7344658,83,0
2,Q2,1544681348.774486,2774964,15,0
6,Q11,1544681348.774486,5738487,68,0
5,Q6,1544681348.774486,193030,2,0
2,Q2,1544681348.774487,228074,12,0
9,Q16,1544681348.774487,1108758,77,0
1,Q1,1544681348.837802,632018,74,0
4,Q4,1544681348.844585,171265,48,0
4,Q4,1544681348.866684,8983125,2,0
13,Q21,1544681348.903164,2646255,12,0
1,Q1,1544681348.915606,329903,48,0
13,Q21,1544681348.932637,195563,91,0
4,Q4,1544681348.932638,1275505,13,0
6,Q11,1544681348.932638,5580377,6,0
2,Q2,1544681349.029005,443997,91,0
5,Q6,1544681349.097772,206978,7,0
6,Q11,1544681349.097772,8752077,69,0
4,Q4,1544681349.097773,4381634,75,0
1,Q1,1544681349.100128,278625,8,0
12,Q19,1544681349.144372,1063821,98,0
5,Q6,1544681349.145499,5367587,85,0
13,Q21,1544681349.145500,1062628,86,0
9,Q16,1544681349.145500,1677097,17,0
13,Q21,1544681349.145500,254469,14,0
4,Q4,1544681349.145500,8704327,48,0
14,Q22,1544681349.145500,331816,1,0
8,Q14,1544681349.145501,4526380,26,0
14,Q22,1544681349.145501,1253472,22,0
2,Q2,1544681349.146627,1064536,53,0
11,Q18,1544681349.205345,5316261,7,0
8,Q14,1544681349.253221,1566883,87,0
8,Q14,1544681349.278928,617915,8,0
8,Q14,1544681349.299897,8549935,14,0
4,Q4,1544681349.369857,4302032,74,0
5,Q6,1544681349.373375,196978,91,0
5,Q6,1544681349.378048,1020895,1,0
14,Q22,1544681349.470208,740912,91,0
14,Q22,1544681349.782991,4732988,77,0
14,Q22,1544681349.797023,1539866,8,0
4,Q4,1544681350.107896,171540,13,0
2,Q2,1544681350.109083,3566212,98,0
2,Q2,1544681350.109083,7744129,86,0
6,Q11,1544681350.111384,286720,91,0
5,Q6,1544681350.111384,570239,53,0
8,Q14,1544681350.180183,582012,13,0
14,Q22,1544681350.197715,1139188,63,0
13,Q21,1544681350.197715,5876472,67,0
13,Q21,1544681350.197716,7655362,95,0
1,Q1,1544681350.197716,275310,30,0
1,Q1,1544681350.201207,3474053,60,0
4,Q4,1544681350.201208,384447,90,0
14,Q22,1544681350.201208,480508,56,0
13,Q21,1544681350.201208,1319361,31,0
4,Q4,1544681350.204703,5869471,23,0
9,Q16,1544681350.261705,7648504,9,0
4,Q4,1544681350.261705,1075273,38,0
2,Q2,1544681350.261705,425940,58,0
13,Q21,1544681350.261706,7295475,65,0
11,Q18,1544681350.261706,3419232,20,0
5,Q6,1544681350.261706,420049,94,0
2,Q2,1544681350.261706,327491,21,0
7,Q12,1544681350.262873,1257727,78,0
5,Q6,1544681350.262873,1074067,99,0
5,Q6,1544681350.264028,423575,39,0
7,Q12,1544681350.297848,7610219,91,0
6,Q11,1544681350.298977,3381747,1,0
1,Q1,1544681350.298978,454695,22,0
5,Q6,1544681350.373763,446348,30,0
14,Q22,1544681350.485540,1035047,90,0
5,Q6,1544681350.489044,7068096,21,0
5,Q6,1544681350.506587,830333,34,0
1,Q1,1544681350.513527,341593,59,0
4,Q4,1544681350.513528,7926567,41,0
14,Q22,1544681350.582395,3098345,53,0
1,Q1,1544681350.582395,338811,56,0
7,Q12,1544681350.582395,663409,94,0
14,Q22,1544681350.588136,932436,58,0
13,Q21,1544681350.588136,6968952,39,0
2,Q2,1544681350.654721,685180,22,0
6,Q11,1544681350.662821,371236,13,0
13,Q21,1544681350.719657,2961096,30,0
1,Q1,1544681350.719657,7720477,87,0
8,Q14,1544681350.721980,696564,17,0
1,Q1,1544681350.754721,660418,59,0
14,Q22,1544681350.821673,2082095,56,0
7,Q12,1544681350.933926,6623172,13,0
5,Q6,1544681350.987512,443064,62,0
6,Q11,1544681351.145898,279257,94,0
7,Q12,1544681351.161052,7372250,35,0
2,Q2,1544681351.236855,2837161,8,0
13,Q21,1544681351.236855,277420,63,0
13,Q21,1544681351.236855,274336,34,0
14,Q22,1544681351.236856,6320443,99,0
9,Q16,1544681351.236856,1725993,38,0
5,Q6,1544681351.240356,283947,22,0
12,Q19,1544681351.316182,1084709,59,0
14,Q22,1544681351.318531,7214738,17,0
4,Q4,1544681351.325553,2745492,94,0
9,Q16,1544681351.331362,1397233,62,0
6,Q11,1544681351.375705,1585474,76,0
8,Q14,1544681351.375706,771713,97,0
13,Q21,1544681351.376794,891089,81,0
13,Q21,1544681351.376795,6180355,47,0
1,Q1,1544681351.376795,2081442,4,0
13,Q21,1544681351.376795,7156490,84,0
5,Q6,1544681351.376796,3075543,66,0
2,Q2,1544681351.379089,1347626,55,0
1,Q1,1544681351.379089,1347598,79,0
1,Q1,1544681351.379092,768306,10,0
14,Q22,1544681351.379092,1582229,36,0
6,Q11,1544681351.379092,7154256,19,0
4,Q4,1544681351.379093,6178049,73,0
2,Q2,1544681351.379093,2082704,25,0
7,Q12,1544681351.380183,887762,40,0
2,Q2,1544681351.380190,3075345,61,0
13,Q21,1544681351.411676,936068,34,0
1,Q1,1544681351.414055,1547143,63,0
2,Q2,1544681351.419817,6140726,58,0
1,Q1,1544681351.419817,848153,90,0
1,Q1,1544681351.419817,2041960,31,0
5,Q6,1544681351.419818,7113522,78,0
6,Q11,1544681351.424478,3030904,22,0
14,Q22,1544681351.448853,898907,12,0
2,Q2,1544681351.448854,2132789,15,0
6,Q11,1544681352.048067,1851956,10,0
6,Q11,1544681352.048067,5512401,97,0
8,Q14,1544681352.168346,1293444,40,0
8,Q14,1544681352.168346,600216,81,0
9,Q16,1544681352.168346,6426178,90,0
2,Q2,1544681352.239408,3110521,88,0
9,Q16,1544681352.239408,1399595,3,0
14,Q22,1544681352.240582,213276,46,0
13,Q21,1544681352.240582,1659418,45,0
6,Q11,1544681352.244059,5316461,5,0
2,Q2,1544681352.248764,644033,34,0
5,Q6,1544681352.248771,1213004,12,0
14,Q22,1544681352.301200,9123050,59,0
13,Q21,1544681352.354640,2995160,46,0
13,Q21,1544681352.626182,196514,79,0
9,Q16,1544681352.626182,2473273,55,0
11,Q18,1544681352.628540,1278263,62,0
4,Q4,1544681352.668183,4892354,81,0
14,Q22,1544681352.723437,263220,79,0
14,Q22,1544681352.793416,887373,34,0
8,Q14,1544681352.804007,8620265,56,0
2,Q2,1544681352.861277,2236283,76,0
5,Q6,1544681352.861277,2488548,63,0
9,Q16,1544681352.861278,986201,36,0
2,Q2,1544681352.862454,2316965,38,0
5,Q6,1544681352.886946,4945750,79,0
2,Q2,1544681353.095239,588997,50,0
14,Q22,1544681353.095240,198350,52,0
5,Q6,1544681353.098756,8774346,96,0
4,Q4,1544681353.098756,2251061,16,0
4,Q4,1544681353.193342,1904196,52,0
14,Q22,1544681353.358162,784974,4,0
1,Q1,1544681353.362816,1816587,31,0
6,Q11,1544681353.362817,4469949,40,0
14,Q22,1544681353.362818,195671,12,0
2,Q2,1544681353.362818,1382521,25,0
4,Q4,1544681353.376802,12209006,44,0
13,Q21,1544681353.380277,762828,89,0
9,Q16,1544681353.380277,2920768,54,0
7,Q12,1544681353.380278,1717270,57,0
2,Q2,1544681353.380278,1801777,70,0
4,Q4,1544681353.380278,4452488,71,0
1,Q1,1544681353.380279,347640,93,0
14,Q22,1544681353.380279,1362061,37,0
11,Q18,1544681353.380298,12212722,75,0
4,Q4,1544681353.458428,2840091,12,0
13,Q21,1544681353.481650,3535566,15,0
4,Q4,1544681353.539300,603816,3,0
4,Q4,1544681353.571582,1610485,74,0
11,Q18,1544681353.571582,4268285,26,0
5,Q6,1544681353.575078,270089,60,0
9,Q16,1544681353.575078,1227603,98,0
9,Q16,1544681353.580828,3094210,1,0
9,Q16,1544681353.580828,3496985,53,0
5,Q6,1544681353.580828,12005397,30,0
13,Q21,1544681353.580828,562292,34,0
9,Q16,1544681353.580829,1656825,20,0
4,Q4,1544681353.584216,4255377,50,0
1,Q1,1544681353.627133,366587,93,0
13,Q21,1544681353.744367,2278616,60,0
13,Q21,1544681353.746688,11846059,36,0
7,Q12,1544681353.799902,3275523,10,0
4,Q4,1544681353.799902,2872852,45,0
13,Q21,1544681353.806510,431861,62,0
5,Q6,1544681353.892774,1842989,93,0
6,Q11,1544681353.971655,3867978,94,0
2,Q2,1544681353.973972,220315,8,0
1,Q1,1544681354.043932,1979075,89,0
4,Q4,1544681354.043932,3206992,3,0
4,Q4,1544681354.043933,11548821,34,0
13,Q21,1544681354.043933,3031482,4,0
13,Q21,1544681354.095167,240151,8,0
5,Q6,1544681354.138378,1597443,62,0
6,Q11,1544681354.236138,3603510,8,0
11,Q18,1544681354.246676,1783053,32,0
6,Q11,1544681354.246676,282525,49,0
13,Q21,1544681354.250154,11342623,29,0
6,Q11,1544681354.250155,3000761,72,0
14,Q22,1544681354.252530,198462,43,0
1,Q1,1544681354.252531,2822913,51,0
13,Q21,1544681354.257175,1478599,42,0
13,Q21,1544681354.257175,4227291,82,0
1,Q1,1544681354.257175,609951,92,0
2,Q2,1544681354.257175,1774617,80,0
5,Q6,1544681354.257176,11335634,0,0
2,Q2,1544681354.258333,2996143,28,0
14,Q22,1544681354.351335,2724121,43,0
4,Q4,1544681354.352435,168885,66,0
4,Q4,1544681354.355734,1380104,22,0
6,Q11,1544681354.355734,4128774,61,0
1,Q1,1544681354.412986,454126,6,0
1,Q1,1544681354.412987,1618784,68,0
7,Q12,1544681354.414145,11178696,85,0
5,Q6,1544681354.416475,3968925,77,0
14,Q22,1544681354.416475,2659093,33,0
2,Q2,1544681354.421193,225595,66,0
13,Q21,1544681354.421193,1314704,7,0
6,Q11,1544681354.429357,4599099,49,0
1,Q1,1544681354.546677,489346,66,0
13,Q21,1544681354.642492,2032677,37,0
14,Q22,1544681354.645937,10946904,25,0
4,Q4,1544681354.701999,3683373,98,0
1,Q1,1544681354.767861,2307801,6,0
8,Q14,1544681354.767861,644918,92,0
2,Q2,1544681354.936641,802416,66,0
2,Q2,1544681354.997165,238630,57,0
14,Q22,1544681354.997165,1675788,52,0
4,Q4,1544681354.997165,4031312,76,0
14,Q22,1544681354.999501,10593400,55,0
8,Q14,1544681355.078825,3306583,31,0
14,Q22,1544681355.078826,3016879,38,0
9,Q16,1544681355.082217,1329216,70,0
7,Q12,1544681355.082217,1221626,74,0
13,Q21,1544681355.135466,3893025,57,0
4,Q4,1544681355.137756,171493,20,0
1,Q1,1544681355.209112,1463646,20,0
1,Q1,1544681355.250201,10342712,46,0
13,Q21,1544681355.250202,2845555,16,0
2,Q2,1544681355.250202,3391819,63,0
14,Q22,1544681355.250202,1158940,88,0
13,Q21,1544681355.313195,990716,92,0
5,Q6,1544681355.635833,3392673,93,0
12,Q19,1544681355.635833,10109823,42,0
14,Q22,1544681355.635834,198109,22,0
13,Q21,1544681355.635834,1036920,62,0
9,Q16,1544681355.635834,3056909,7,0
14,Q22,1544681355.639319,2456413,66,0
13,Q21,1544681355.734835,938080,11,0
13,Q21,1544681355.734835,983202,27,0
14,Q22,1544681355.734835,197068,18,0
2,Q2,1544681355.734836,3296904,64,0
1,Q1,1544681355.734836,937947,22,0
7,Q12,1544681355.832552,10011255,18,0
14,Q22,1544681355.923594,2766643,60,0
2,Q2,1544681355.923594,2175268,89,0
14,Q22,1544681355.929442,788894,32,0
13,Q21,1544681355.931773,3099836,68,0
13,Q21,1544681355.931773,741239,80,0
6,Q11,1544681355.973635,324898,23,0
8,Q14,1544681355.973635,1239515,67,0
14,Q22,1544681355.990966,2699260,83,0
5,Q6,1544681355.990966,9852940,24,0
1,Q1,1544681356.198417,519930,12,0
8,Q14,1544681356.198417,1900430,23,0
1,Q1,1544681356.200743,474515,54,0
13,Q21,1544681356.204241,3897234,74,0
13,Q21,1544681356.204243,204897,92,0
5,Q6,1544681356.308451,904691,92,0
4,Q4,1544681356.308452,9535394,88,0
1,Q1,1544681356.310818,2720810,70,0
4,Q4,1544681356.572657,304605,20,0
8,Q14,1544681356.572658,573799,62,0
9,Q16,1544681356.572658,953509,45,0
14,Q22,1544681356.572658,1526163,22,0
5,Q6,1544681356.572659,998232,11,0
13,Q21,1544681356.572661,3528823,52,0
7,Q12,1544681356.572661,9271169,80,0
1,Q1,1544681356.574973,3971736,1,0
13,Q21,1544681356.574973,1523896,37,0
5,Q6,1544681356.574974,302277,54,0
6,Q11,1544681356.618114,1582687,27,0
1,Q1,1544681356.618114,3483428,32,0
14,Q22,1544681356.618114,1100112,12,0
1,Q1,1544681356.777084,793842,54,0
7,Q12,1544681356.777084,9066861,20,0
2,Q2,1544681356.917129,3630276,15,0
5,Q6,1544681356.974818,2695477,4,0
8,Q14,1544681356.974819,1225998,10,0
13,Q21,1544681356.974819,3126706,51,0
6,Q11,1544681356.974819,282057,43,0
7,Q12,1544681356.975948,742440,33,0
5,Q6,1544681356.975951,594913,6,0
12,Q19,1544681356.978210,8865853,53,0
6,Q11,1544681357.046153,3501231,62,0
6,Q11,1544681357.112780,325100,92,0
2,Q2,1544681357.112780,2560533,67,0
5,Q6,1544681357.151408,1049444,72,0
13,Q21,1544681357.151415,2950131,3,0
1,Q1,1544681357.154929,971813,28,0
5,Q6,1544681357.157293,596070,43,0
12,Q19,1544681357.338211,8506203,92,0
4,Q4,1544681357.426068,3121334,45,0
4,Q4,1544681357.456526,2216675,39,0
1,Q1,1544681357.457656,669127,13,0
5,Q6,1544681357.457657,3634295,21,0
4,Q4,1544681357.457658,170926,73,0
9,Q16,1544681357.457658,2542579,47,0
2,Q2,1544681357.457658,8390758,65,0
5,Q6,1544681357.457658,295788,99,0
