Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q2,1544670848.598634,225654,5,0
3,Q13,1544670848.724403,2268223,5,0
4,Q16,1544670850.177390,993008,2,0
6,Q18,1544670850.840508,1089139,9,0
4,Q16,1544670850.893418,1169985,5,0
8,Q22,1544670851.165372,232723,4,0
1,Q2,1544670851.166478,2472817,0,0
6,Q18,1544670851.216968,848010,3,0
4,Q16,1544670851.265258,934898,1,0
3,Q13,1544670851.298561,677934,4,0
2,Q11,1544670851.964157,1675162,3,0
1,Q2,1544670852.099952,225311,1,0
1,Q2,1544670852.224829,224918,1,0
1,Q2,1544670852.349754,223345,1,0
